"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","838","","courier.TestCasesCreateCourier","","courier.TestCasesCreateCourier","","createTwoCouriersWithTheSameData",""
"passed","","","560","","courier.TestCasesCreateCourier","","courier.TestCasesCreateCourier","","createCourierValidData",""
"passed","","","146","","courier.TestCasesCreateCourier","","courier.TestCasesCreateCourier","","createCourierWithoutLogin",""
"passed","","","168","","courier.TestCasesCreateCourier","","courier.TestCasesCreateCourier","","createCourierWithoutPassword",""
"passed","","","579","","courier.TestCasesDeleteCourier","","courier.TestCasesDeleteCourier","","deleteCourierValidData",""
"passed","","","3576","","courier.TestCasesCreateCourier","","courier.TestCasesCreateCourier","","createCourierWithoutFirstName",""
"passed","","","430","","courier.TestCasesDeleteCourier","","courier.TestCasesDeleteCourier","","deleteCourierWithWrongId",""
"passed","","","307","","courier.TestCasesLoginCourier","","courier.TestCasesLoginCourier","","loginCourierValidData",""
"passed","","","334","","courier.TestCasesLoginCourier","","courier.TestCasesLoginCourier","","loginCourierWithIncorrectLogin",""
"passed","","","511","","order.TestCasesCreateOrder","","order.TestCasesCreateOrder","","createOrderValidData[Цвет самоката: [GREY]]",""
"passed","","","358","","courier.TestCasesLoginCourier","","courier.TestCasesLoginCourier","","loginCourierWithIncorrectPassword",""
"passed","","","465","","order.TestCasesCreateOrder","","order.TestCasesCreateOrder","","createOrderValidData[Цвет самоката: []]",""
"passed","","","18413","","order.TestClassesGetOrders","","order.TestClassesGetOrders","","getOrderListWithoutParamsIsSuccess",""
"passed","","","316","","courier.TestCasesLoginCourier","","courier.TestCasesLoginCourier","","loginCourierWithoutLogin",""
"passed","","","554","","order.TestCasesCreateOrder","","order.TestCasesCreateOrder","","createOrderValidData[Цвет самоката: [BLACK, GREY]]",""
"passed","","","195","","courier.TestCasesCreateCourier","","courier.TestCasesCreateCourier","","createCourierNullData",""
"passed","","","403","","courier.TestCasesLoginCourier","","courier.TestCasesLoginCourier","","loginCourierWithoutPasword",""
"passed","","","381","","courier.TestCasesLoginCourier","","courier.TestCasesLoginCourier","","loginCourierNullData",""
"passed","","","426","","order.TestCasesCreateOrder","","order.TestCasesCreateOrder","","createOrderValidData[Цвет самоката: [BLACK]]",""
